State,District,Total_Households,Connections_2019,Connections_2020,Connections_2021,Connections_Current
Uttar Pradesh,Ballia,438202,24585,25389,94075,145413
Uttar Pradesh,Balrampur,312496,1866,4117,27730,302708
Uttar Pradesh,Banda,268960,3380,4792,25139,268722
Uttar Pradesh,Bara Banki,517152,5885,12428,51947,508637
Uttar Pradesh,Bareilly,515485,11357,14512,33337,509945
Uttar Pradesh,Basti,359777,3370,6118,48930,346321
Uttar Pradesh,Bhadohi,251779,435,1995,8922,247641
Uttar Pradesh,Bijnor,516760,18237,22428,52918,508408
Uttar Pradesh,Budaun,450229,20274,28091,38558,445621
Uttar Pradesh,Bulandshahr,464176,21314,35902,68445,456761
Uttar Pradesh,Chandauli,284094,484,1445,50742,268063
Uttar Pradesh,Chitrakoot,163970,609,5057,20462,163698
Uttar Pradesh,Deoria,432496,6255,26133,80039,424418
Uttar Pradesh,Etah,266920,3322,5328,35320,261715
Uttar Pradesh,Etawah,239209,8624,17304,50268,232982
Uttar Pradesh,Farrukhabad,252320,1261,6665,43020,247203
Uttar Pradesh,Fatehpur,434176,2431,16351,45683,407821
Uttar Pradesh,Firozabad,282949,344,1936,57039,86543
Uttar Pradesh,Gautam Buddha Nagar,45453,1246,1783,5569,43889
Uttar Pradesh,Ghaziabad,118743,22334,22677,33884,116515
Uttar Pradesh,Ghazipur,517490,8512,13882,88507,471404
Uttar Pradesh,Gonda,510687,1983,12010,53481,500725
Uttar Pradesh,Gorakhpur,565961,42003,58814,163866,555877
Uttar Pradesh,Hamirpur,186530,11752,12274,27759,185693
Uttar Pradesh,Hapur,183905,14393,15621,53314,180962
Uttar Pradesh,Hardoi,622287,2316,7896,32849,611927
Uttar Pradesh,Hathras,203986,616,3614,20286,200184
Uttar Pradesh,Jalaun,212069,1558,2562,17898,208192
Uttar Pradesh,Jaunpur,593255,2580,3917,26201,538705
Uttar Pradesh,Jhansi,251232,1218,4261,31926,249129
Uttar Pradesh,Kannauj,274534,4404,17022,74381,268754
Uttar Pradesh,Kanpur Dehat,293656,6122,7407,41293,290179
Uttar Pradesh,Kanpur Nagar,304114,11813,15128,54113,294217
Uttar Pradesh,Kasganj,205355,175,3682,14467,197334
Uttar Pradesh,Kaushambi,249308,6991,10571,27159,236675
Uttar Pradesh,Kheri,674235,12186,24923,113161,649066
Uttar Pradesh,Kushinagar,553162,13943,31682,147625,538300
Uttar Pradesh,Lalitpur,206983,28669,30579,38285,205966
Uttar Pradesh,Lucknow,250572,3146,4104,23172,246211
Uttar Pradesh,Mahoba,140149,1612,2088,22159,139904
Uttar Pradesh,Mahrajganj,436167,1457,6783,51931,419619
Uttar Pradesh,Mainpuri,259933,2054,3294,18626,254932
Uttar Pradesh,Mathura,294078,11715,12971,45814,97992
Uttar Pradesh,Mau,264404,1273,3822,21143,249521
Uttar Pradesh,Meerut,314481,20130,37798,81380,303843
Uttar Pradesh,Mirzapur,355207,2004,7927,33949,349355
Uttar Pradesh,Moradabad,350056,3753,8037,21869,341471
Uttar Pradesh,Muzaffarnagar,380126,1727,34455,103995,368598
Uttar Pradesh,Pilibhit,306759,8959,20462,43165,301177
Uttar Pradesh,Pratapgarh,491841,565,5323,41022,465883
Uttar Pradesh,Prayagraj,651466,3452,14508,125890,491065
Uttar Pradesh,Rae Bareli,503473,5370,10251,53022,470993
Uttar Pradesh,Rampur,311550,21551,28503,29555,305542
Uttar Pradesh,Saharanpur,468258,4525,11632,93642,449536
Uttar Pradesh,Sambhal,327274,3108,4158,16817,306059
Uttar Pradesh,Sant Kabir Nagar,230121,1243,3240,36360,215407
Uttar Pradesh,Shahjahanpur,469470,0,1536,14872,462258
Uttar Pradesh,Shamli,165011,6129,29503,55807,161885
Uttar Pradesh,Shrawasti,186084,542,1530,13832,182549
Uttar Pradesh,Siddharthnagar,403159,7089,14215,59012,347172
Uttar Pradesh,Sitapur,714455,1689,8193,21841,700500
Uttar Pradesh,Sonbhadra,313799,12126,16458,40368,299053
Uttar Pradesh,Sultanpur,386366,630,1519,18262,375593
Uttar Pradesh,Unnao,489659,6913,8968,39341,163299
Uttar Pradesh,Varanasi,344030,2290,18012,81656,326551
Uttarakhand,Almora,125907,10920,17059,66854,116782
Uttarakhand,Bageshwar,54659,3135,5344,50390,54659
Uttarakhand,Chamoli,76716,23556,28429,72198,76686
Uttarakhand,Champawat,45086,7069,9071,33725,45012
Uttarakhand,Dehradun,129491,12841,37927,122449,129449
Uttarakhand,Haridwar,249092,15321,24580,104311,241513
Uttarakhand,Nainital,114156,24910,32963,65586,107272
Uttarakhand,Pauri Garhwal,111552,3954,6997,72182,110723
Uttarakhand,Pithoragarh,94474,5612,12354,66451,94137
Uttarakhand,Rudra Prayag,54880,10725,12742,40041,54850
Uttarakhand,Tehri Garhwal,129045,10270,17039,88971,128704
Uttarakhand,Udam Singh Nagar,197888,75,3119,90728,195066
Uttarakhand,Uttar Kashi,65013,1937,9496,56320,65010
West Bengal,Alipurduar,365004,1068,1068,115293,213196
West Bengal,Bankura,742508,10,20,246975,433590
West Bengal,Birbhum,854370,49670,49672,133482,378215
West Bengal,Cooch Behar,696553,3,3,94768,467021
West Bengal,Dakshin Dinajpur,338391,3,3,60222,184254
West Bengal,Darjeeling,340994,193,193,46008,168751
West Bengal,Hooghly,975515,849,849,223712,664411
West Bengal,Howrah,677705,1486,1486,166603,417106
West Bengal,Jalpaiguri,438180,0,0,114422,234362
West Bengal,Jhargram,255391,0,0,25411,155859
West Bengal,Kalimpong,64555,5,5,6213,35477
West Bengal,Malda,870236,19516,24224,153101,332181
West Bengal,Murshidabad,1678423,166,166,412533,732979
West Bengal,Nadia,1193370,309,309,510018,1062123
West Bengal,North 24 Parganas,1433870,33529,33529,261945,957503
West Bengal,Paschim Bardhaman,255243,4588,4588,77549,183113
West Bengal,Paschim Medinipur,1042708,183,183,150464,420153
West Bengal,Purba Bardhaman,1120030,47591,47591,324483,857998
West Bengal,Purba Medinipur,1163833,808,808,208220,652151
West Bengal,Purulia,547724,361,361,57700,177745
West Bengal,South 24 Parganas,1914544,54238,54238,314360,1008178
West Bengal,Uttar Dinajpur,581492,12,12,104177,239728
